Date,Symbol,Prev Close,Open,High,Low,Last Price,Close,Average Price,volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,MACD,Signal_Line,histogram,up,down,RSI,SMA5,SMA10,SMA20,EMA,#NAME?,#NAME?,ADX14
25-08-2020,INFY,947.4,947.5,948.65,933.6,938.6,938.1,940.65,6233923,5863927590,105761,3116528,49.99,20.75827716,29.52109387,-8.76281671,0,-9.3,46.87203791,949.75,953.355,954.4075,940.4369453,5.6,0,39.20341288
26-08-2020,INFY,938.1,941.25,954.25,938.4,953.5,950.8,945.03,5153663,4870349606,114894,2282594,44.29,19.3089825,27.47867159,-8.16968909,12.7,0,39.10917979,948.05,952.94,954.24,941.4239029,0,5.6,35.92635661
27-08-2020,INFY,950.8,960,960.95,945.2,950.8,947.05,952.03,6154300,5859108364,124639,2632139,42.77,17.65430454,25.51379818,-7.85949364,0,-3.75,47.46209624,946.43,952.525,953.52,941.9597216,0,6.7,33.99604066
28-08-2020,INFY,947.05,951.45,952.5,933.05,935.05,935.25,940.5,7593988,7142134781,180829,4654594,61.29,15.21540523,23.45411959,-8.23871436,0,-11.8,40.76834862,943.72,950.69,951.9825,941.3207005,12.15,0,31.7942722
31-08-2020,INFY,935.25,935.25,950.5,914.6,919.7,928.6,933.36,12808369,11954811845,206060,6793301,53.04,12.60070743,21.28343716,-8.68272973,0,-6.65,39.08741067,939.96,947.8,950.5675,940.1092052,18.45,0,29.76264923
01-09-2020,INFY,928.6,926.25,935,912.1,917.95,914.15,921.79,6907783,6367507048,117189,3811587,55.18,9.255850658,18.87791986,-9.622069202,0,-14.45,29.37310415,935.17,942.46,948.7825,937.6369,2.5,0,27.14477368
02-09-2020,INFY,914.15,915,926.4,913.5,923.6,924,920.9,5678696,5229493200,105709,2441981,43,7.315511585,16.5654382,-9.249926615,9.85,0,37.04761905,929.81,938.93,947.7475,936.3381476,0,0,25.60548795
03-09-2020,INFY,924,926.5,949.4,924,935.2,935.55,937.36,8828016,8275049706,130511,3361958,38.08,6.633302778,14.57901112,-7.945708342,11.55,0,42.09373631,927.51,936.97,945.9825,936.2630859,0,23,22.64242108
04-09-2020,INFY,935.55,915,929.5,914.45,920.5,919.15,921.81,8650414,7974078251,146258,4241995,49.04,4.714953396,12.60619957,-7.891246174,0,-16.4,34.85984998,924.29,934.005,944.395,934.6332682,9.55,0,21.1955772
07-09-2020,INFY,919.15,918.9,927.55,913.05,925.55,925.05,921.27,6700450,6172952177,101639,3112558,46.45,3.62889672,10.810739,-7.18184228,5.9,0,32.65306122,923.58,931.77,943.08,933.720576,1.4,0,19.81723125
08-09-2020,INFY,925.05,929.95,952,925.55,938.8,939.3,942.77,12892115,12154247390,200293,4736971,36.74,3.873394802,9.423270163,-5.549875361,14.25,0,42.21789883,928.61,931.89,942.6225,934.2519497,0,24.45,17.34801842
09-09-2020,INFY,939.3,935,946,926,928.2,927.75,933.78,5529150,5163032077,133068,2390850,43.24,3.099444356,8.158505002,-5.059060646,0,-11.55,39.91905813,929.36,929.585,941.2625,933.6327164,0,0,16.28375929
