Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Date,MACD,Signal_Line,up,down,RSI,EMA10,EMA20,EMA50,EMA200,EMA250,EMA300,-DM,+DM,ADX14
2021-01-25,SUPREMEIND,EQ,1725.75,1838.0,1847.95,1720.0,1720.7,1732.4,1782.4,174049,31022475660000.004,17600,44724,0.257,2021-01-25,14.80459385918789,19.017161582600416,6.650000000000091,0.0,47.56284488044147,1726.431985468311,1717.481889183408,1690.3449047827307,1659.372082178318,1656.6296921757037,1654.7447951425308,0.0,63.950000000000045,31.70958297418202
2021-01-27,SUPREMEIND,EQ,1732.4,1787.55,1797.0,1731.0,1784.85,1779.55,1769.5,124248,21985705350000.0,9891,34510,0.2778,2021-01-27,18.02504478096398,18.81873822227313,47.149999999999864,0.0,53.11129385964912,1736.0898062922543,1723.3931378326072,1693.843143810859,1660.5678823556482,1657.6091368595626,1655.5740656067,0.0,0.0,31.70958297418202
2021-01-28,SUPREMEIND,EQ,1779.55,1777.0,1823.8,1753.25,1790.0,1784.55,1791.34,99466,17817701940000.0,16632,60540,0.6087,2021-01-28,20.74163687317059,19.203317952452622,5.0,0.0,49.054355919583,1744.9007506027533,1729.2176008961683,1697.4002754261194,1661.8015352675322,1658.6206178407613,1656.4310485594794,0.0,26.799999999999955,31.70958297418202
2021-01-29,SUPREMEIND,EQ,1784.55,1805.0,1816.7,1752.85,1801.85,1808.3,1802.19,107094,19300331960000.0,15577,73236,0.6838,2021-01-29,24.528235955404398,20.268301553042978,23.75,0.0,51.36479954506681,1756.427886856798,1736.749257953676,1701.7492842329384,1663.2592314340245,1659.8132822404366,1657.44014458234,0.40000000000009095,0.0,31.70958297418202
2021-02-01,SUPREMEIND,EQ,1808.3,1815.0,1815.0,1791.05,1799.95,1798.5,1802.32,80036,14425082005000.002,13864,57793,0.7221,2021-02-01,26.433654199828425,21.501372082400067,0.0,-9.799999999999955,49.77783948903083,1764.0773619737438,1742.6302810057068,1705.5434299492938,1664.6049107232382,1660.9183556887199,1658.3774193691684,0.0,0.0,31.70958297418202
2021-02-02,SUPREMEIND,EQ,1798.5,1820.0,1917.0,1800.05,1903.5,1909.35,1890.89,234478,44337094335000.0,16578,161528,0.6889000000000001,2021-02-02,36.468000069962955,24.494697679912647,110.84999999999991,0.0,65.36728255971157,1790.4905688876083,1758.508349481354,1713.535844461086,1667.040185243405,1662.8978907031524,1660.0450112670476,0.0,102.0,31.70958297418202
2021-02-03,SUPREMEIND,EQ,1909.35,1919.0,1985.0,1875.55,1918.0,1915.35,1937.76,120856,23419017720000.0,12768,47464,0.39270000000000005,2021-02-03,44.39270979647904,28.47430010322593,6.0,0.0,68.94865525672373,1813.1922836353158,1773.4456495307486,1721.4501250704552,1669.5109296688438,1664.9094612951592,1661.741389929725,0.0,68.0,25.226761801938146
2021-02-04,SUPREMEIND,EQ,1915.35,1915.35,1990.0,1915.35,1975.0,1973.65,1973.77,85952,16964909910000.0,11978,53787,0.6258,2021-02-04,54.74634038225099,33.728708159030944,58.30000000000018,0.0,74.76004640860668,1842.3664138834401,1792.5127305278202,1731.340316244163,1672.537189075124,1667.369545268903,1663.8138723886636,0.0,5.0,27.350765609801247
2021-02-05,SUPREMEIND,EQ,1973.65,1973.65,1999.0,1899.45,1949.9,1941.45,1938.92,118358,22948653555000.0,16153,42429,0.35850000000000004,2021-02-05,59.66560832971072,38.9160881931669,0.0,-32.200000000000045,73.62625947854991,1860.3816113591781,1806.6972323823136,1739.5799116855685,1675.2129384375608,1669.5534532747286,1665.6586307116627,15.899999999999864,0.0,30.533576115431497
2021-02-08,SUPREMEIND,EQ,1941.45,1942.0,1960.05,1902.3,1920.15,1939.65,1935.44,60296,11669933855000.0,6899,42144,0.6990000000000001,2021-02-08,62.696195942908844,43.67210974311529,0.0,-1.7999999999999545,80.70135489012867,1874.7940456575093,1819.3594007268553,1747.4257975018206,1677.8441529804707,1671.705616993655,1667.4791713713857,0.0,0.0,35.92711548664874
2021-02-09,SUPREMEIND,EQ,1939.65,1949.0,1949.0,1899.3,1910.0,1910.05,1910.45,34205,6534690460000.0,4405,19186,0.5609000000000001,2021-02-09,61.99484782284571,47.33665735906138,0.0,-29.600000000000136,73.8449222323879,1881.2042191743255,1827.996600657631,1753.8032172076316,1680.1546589209636,1673.6047754239844,1669.0909376745658,3.0,0.0,40.80701829004231
2021-02-10,SUPREMEIND,EQ,1910.05,1910.0,1924.9,1890.0,1899.95,1902.65,1908.98,55165,10530891720000.0,3596,43176,0.7827,2021-02-10,60.148551172393354,49.899036121727775,0.0,-7.399999999999864,73.9464040311498,1885.1034520517208,1835.106448214047,1759.6403459445871,1682.3685429118,1675.4298369743908,1670.6428251318778,9.299999999999955,0.0,45.543175799895856
2021-02-11,SUPREMEIND,EQ,1902.65,1890.0,1947.95,1875.55,1898.0,1898.8,1918.38,39705,7616921800000.0,8217,21812,0.5494,2021-02-11,57.70944637591492,51.46111817256521,0.0,-3.8500000000001364,68.66506794564347,1887.5937334968623,1841.1725007650903,1765.0975872800936,1684.5220897484985,1677.2096789108498,1672.1588196492737,0.0,23.049999999999955,50.584890401219766
2021-02-12,SUPREMEIND,EQ,1898.8,1881.2,1945.05,1881.2,1940.0,1932.7,1925.3,77062,14836718080000.002,11998,38204,0.4958,2021-02-12,57.845082830230695,52.73791110409831,33.90000000000009,0.0,77.5016611295681,1895.794872861069,1849.8894054541292,1771.6702309161685,1686.9915216912996,1679.2454583617593,1673.8899902828332,0.0,0.0,55.361973759040566
2021-02-15,SUPREMEIND,EQ,1932.7,1932.7,1985.0,1932.5,1957.95,1950.4,1967.3,43068,8472746655000.0,5846,20210,0.4693,2021-02-15,58.704113296372725,53.931151542553195,17.700000000000045,0.0,78.14355796540148,1905.72307779542,1859.4618430299265,1778.6792414684758,1689.6125015749683,1681.4060523190362,1675.7272660949072,0.0,39.950000000000045,59.324881197783675
2021-02-16,SUPREMEIND,EQ,1950.4,1960.0,1985.0,1876.65,1967.25,1972.85,1949.41,168596,32866188650000.0,17115,55860,0.33130000000000004,2021-02-16,60.49903331062774,55.2447278961681,22.449999999999818,0.0,76.65471594043021,1917.9279727417072,1870.2607151223144,1786.2937810187316,1692.4307851413864,1683.7283148503586,1677.7015035294924,55.84999999999991,0.0,61.365045757633276
2021-02-17,SUPREMEIND,EQ,1972.85,1975.0,1975.0,1900.0,1903.0,1908.7,1919.43,184922,35494552585000.0,13775,153827,0.8318000000000001,2021-02-17,56.09848308463802,55.41547893386209,0.0,-64.14999999999986,64.71843509187909,1916.2501595159422,1873.9215993963796,1791.09402490035,1694.5827176275418,1685.52091791928,1679.2363772601934,0.0,0.0,63.35433021172441
2021-02-18,SUPREMEIND,EQ,1908.7,1918.25,1959.0,1913.9,1942.15,1946.6,1943.05,74704,14515358100000.0,10013,41956,0.5616,2021-02-18,55.03482141943664,55.339347430977,37.899999999999864,0.0,65.86373021335169,1921.7683123312254,1880.8433518348197,1797.1922984336695,1697.090352278014,1687.6012293302817,1681.01287973687,0.0,0.0,65.66427439981074
2021-02-19,SUPREMEIND,EQ,1946.6,1946.6,1981.0,1939.85,1970.0,1971.75,1968.34,92932,18292187540000.0,10131,55938,0.6019,2021-02-19,55.58055861713433,55.38758966820847,25.15000000000009,0.0,69.196675900277,1930.8558919073662,1889.501127850551,1804.0376984950942,1699.8232840961434,1689.865362961116,1682.9446878449307,0.0,22.0,67.9306356747378
2021-02-22,SUPREMEIND,EQ,1971.75,1980.0,2039.0,1920.0,1957.0,1941.6,2009.72,203951,40988409105000.0,16683,76000,0.3726,2021-02-22,52.969605611146335,54.903992856796044,0.0,-30.15000000000009,54.35163945486438,1932.8093661060268,1894.4629251981175,1809.4322985541103,1702.2290225628485,1691.8712166427008,1684.663327792805,0.0,58.0,67.71528124979196
2021-02-23,SUPREMEIND,EQ,1941.6,1960.0,2019.0,1950.3,2008.0,2007.2,2002.18,95806,19182050625000.0,9040,56666,0.5915,2021-02-23,55.55339336302313,55.033872958041464,65.60000000000014,0.0,60.67650819481577,1946.334935904931,1905.1997894649635,1817.1878946892432,1705.2635596517755,1694.383796589771,1686.806428604813,0.0,0.0,65.03624831302466
2021-02-24,SUPREMEIND,EQ,2007.2,2025.0,2039.0,1980.65,2020.0,2018.85,2015.21,79219,15964268919999.998,9324,42545,0.5371,2021-02-24,57.87398612175252,55.60189559078368,11.649999999999864,0.0,55.89308996088655,1959.5194930131252,1916.0236190397288,1825.0962125445672,1708.3838227398176,1696.969184664753,1689.0126981821895,0.0,20.0,62.420785733245715
2021-02-25,SUPREMEIND,EQ,2018.85,2020.0,2036.2,1960.95,1971.15,1979.45,2002.86,70408,14101720685000.0,7553,25623,0.3639,2021-02-25,55.88956180313039,55.659428833253024,0.0,-39.399999999999864,54.86306629127208,1963.1432215561933,1922.0642267502308,1831.149302248702,1711.0809986329539,1699.2200278148346,1690.9425141411118,19.700000000000045,0.0,59.47776509879194
2021-02-26,SUPREMEIND,EQ,1979.45,1975.0,2063.85,1934.15,2049.0,2027.55,2009.18,157912,31727419055000.0,25305,106049,0.6716,2021-02-26,57.53493235915994,56.034529538434406,48.09999999999991,0.0,60.05720823798626,1974.8535449096125,1932.1104908692564,1838.8512903958117,1714.2299439201881,1701.8362028920073,1693.1791087315362,0.0,27.649999999999864,55.89429026042622
2021-03-01,SUPREMEIND,EQ,2027.55,2075.0,2125.05,2046.75,2081.8,2082.85,2093.09,127074,26597785335000.0,23293,78518,0.6179,2021-03-01,62.57976761121563,57.34357715299065,55.299999999999955,0.0,68.67300626755998,1994.4892640169555,1946.4666345959938,1848.4198672430348,1717.8978051747138,1704.872169402828,1695.7682840888017,0.0,61.20000000000027,53.36053225321446
